BUY,SELL,Final Value,Profit,ROI,Trades
0.25,0.15,1000.37,0.37,0.04,1
0.25,0.2,1000.3,0.3,0.03,1
0.3,0.15,1000.11,0.11,0.01,1
0.3,0.2,1000.15,0.15,0.02,1
0.3,0.25,1000.27,0.27,0.03,1
0.35,0.15,1000.47,0.47,0.05,1
0.35,0.2,1000.53,0.53,0.05,1
0.35,0.25,1000.53,0.53,0.05,1
0.35,0.3,1000.53,0.53,0.05,1
0.4,0.15,1000.53,0.53,0.05,1
0.4,0.2,1000.57,0.57,0.06,1
0.4,0.25,1000.57,0.57,0.06,1
0.4,0.3,1000.48,0.48,0.05,1
0.45,0.15,1000.48,0.48,0.05,1
0.45,0.2,1000.48,0.48,0.05,1
0.45,0.25,1000.38,0.38,0.04,1
0.45,0.3,1000.62,0.62,0.06,1
0.5,0.15,1000.89,0.89,0.09,1
0.5,0.2,1000.89,0.89,0.09,1
0.5,0.25,1000.95,0.95,0.1,1
0.5,0.3,1001.11,1.11,0.11,1
0.55,0.15,1001.0,1.0,0.1,1
0.55,0.2,1000.97,0.97,0.1,1
0.55,0.25,1000.97,0.97,0.1,1
0.55,0.3,1000.97,0.97,0.1,1
0.6,0.15,1002.54,2.54,0.25,1
0.6,0.2,1002.39,2.39,0.24,1
0.6,0.25,1002.39,2.39,0.24,1
0.6,0.3,1002.47,2.47,0.25,1
0.6,0.35,1000.68,0.68,0.07,3
0.6,0.4,1000.68,0.68,0.07,3
